"006260","LS ","66100","-200","-0.30","4568","14.47","101468","0.65","1450","2.19"
"010120","LS ELECTRIC ","67600","-800","-1.17","2905","23.27","47050","1.44","1100","1.63"
"000680","LS네트웍스 ","3865","-40","-1.02",,,"6258","0.62","0","0.00"
"229640","LS전선아시아 ","8750","-140","-1.57","240","36.46","4352","2.01","200","2.29"
"108320","LX세미콘 ","105900","-3800","-3.46","4459","23.75","32727","3.24","1350","1.27"
"001120","LX인터내셔널 ","28950","-300","-1.03","7932","3.65","34525","0.84","400","1.38"
"108670","LX하우시스 ","82600","-1500","-1.78",,,"83775","0.99","300","0.36"
"108675","LX하우시스우 ","38800","-300","-0.77",,,,,"350","0.90"
"383800","LX홀딩스 ","9850","-20","-0.20",,,,,"0","0.00"
"38380K","LX홀딩스1우 ","15550","50","0.32",,,,,"0","0.00"
"023150","MH에탄올 ","13600","-700","-4.90","1049","12.96","8318","1.64","350","2.57"
"035420","NAVER ","405500","5500","1.38","6877","58.96","44850","9.04","402","0.10"
"160550","NEW ","11800","550","4.89",,,"3774","3.13","0","0.00"
"053290","NE능률 ","15200","-1100","-6.75","68","223.53","3826","3.97","40","0.26"
"181710","NHN ","68800","-1300","-1.85","1148","59.93","81621","0.84","0","0.00"
"104200","NHN벅스 ","5990","-50","-0.83",,,"4101","1.46","0","0.00"
"060250","NHN한국사이버결제 ","51800","1300","2.57","1291","40.12","6289","8.24","0","0.00"
"005940","NH투자증권 ","13150","-100","-0.75","1923","6.84","19308","0.68","700","5.32"
"005945","NH투자증권우 ","12350","-50","-0.40",,,,,"750","6.07"
"034310","NICE ","17950","-150","-0.83","447","40.16","18634","0.96","270","1.50"
"030190","NICE평가정보 ","21650","150","0.70","789","27.44","4263","5.08","275","1.27"
"008260","NI스틸 ","4360","-40","-0.91","424","10.28","4246","1.03","50","1.15"
"004250","NPC ","6940","-340","-4.67","449","15.46","7011","0.99","100","1.44"
"004255","NPC우 ","3285","-30","-0.90",,,,,"105","3.20"
"010060","OCI ","138500","-4500","-3.15",,,"98159","1.41","0","0.00"
"078590","OQP ","2380","0","0.00",,,"878","2.71","0","0.00"
"178920","PI첨단소재 ","60000","1500","2.56","1421","42.22","9633","6.23","711","1.19"
"024940","PN풍년 ","6060","-50","-0.82","256","23.67","3955","1.53","25","0.41"
"005490","POSCO ","345000","-1500","-0.43","20165","17.11","508464","0.68","8000","2.32"
"218410","RFHIC ","33700","-250","-0.74","83","406.02","8062","4.18","100","0.30"
"327260","RF머트리얼즈 ","23100","150","0.65",,,"8113","2.85","0","0.00"
"091340","S&K폴리텍 ","5590","110","2.01",,,"7792","0.72","250","4.47"
"010950","S-Oil ","105000","1000","0.96",,,"48733","2.15","0","0.00"
"010955","S-Oil우 ","60500","-100","-0.17",,,,,"25","0.04"
"019550","SBI인베스트먼트 ","1695","-45","-2.59","86","19.71","673","2.52","0","0.00"
"034120","SBS ","57000","300","0.53",,,"28014","2.03","0","0.00"
"101060","SBS미디어홀딩스 ","2090","15","0.72",,,"3617","0.58","0","0.00"
"046140","SBS콘텐츠허브 ","7430","100","1.36","389","19.10","7102","1.05","0","0.00"
"036120","SCI평가정보 ","3265","-35","-1.06","179","18.24","718","4.55","35","1.07"
"099220","SDN ","2455","-120","-4.66","176","13.95","1873","1.31","0","0.00"
"036540","SFA반도체 ","6670","-70","-1.04","102","65.39","2023","3.30","0","0.00"
"255220","SG ","2060","10","0.49",,,"1894","1.09","0","0.00"
"040610","SG&G ","2600","-170","-6.14","787","3.30","8110","0.32","0","0.00"
"049470","SGA ","1160","5","0.43","81","14.32","717","1.62","0","0.00"
"184230","SGA솔루션즈 ","1325","0","0.00","158","8.39","661","2.00","0","0.00"
"005090","SGC에너지 ","51000","700","1.39","1792","28.46","38628","1.32","1500","2.94"
"016250","SGC이테크건설 ","70100","-400","-0.57","56262","1.25","69879","1.00","1500","2.14"
"001380","SG글로벌 ","2380","-30","-1.24",,,"2812","0.85","0","0.00"
"004060","SG세계물산 ","733","3","0.41",,,"969","0.76","0","0.00"
"001770","SHD ","27950","50","0.18","403","69.35","28484","0.98","100","0.36"
